Industry,Category,Description,Specification,Price,State,Location,Website,Telephone,Contact Person,Email
Design,Offer,5 years of experience working with big & small firms.,"UI/UX, Web, Apps, Presentations",200000,NY,"(Landgrove, VT)",www.ldc-design-example.com,(555) 776-4058,Bryn,Bryn@gmail.com
Design,Offer,6 years of experience working with big & small firms.,"UI/UX, Web, Apps, Presentations",200001,NY,(Bay-side),www.ldc-design-example.com,(555) 776-4059,Jolie,Jolie@gmail.com
Design,Offer,7 years of experience working with big & small firms.,"UI/UX, Web, Apps, Presentations",200002,NY,(Bay-side),www.ldc-design-example.com,(555) 776-4060,Carla,Carla@gmail.com
Design,Offer,8 years of experience working with big & small firms.,"UI/UX, Web, Apps, Presentations",200003,NY,(Greenwich Village),www.ldc-design-example.com,(555) 776-4061,Eileen,Eileen@gmail.com
Design,Offer,9 years of experience working with big & small firms.,"UI/UX, Web, Apps, Presentations",200004,NY,(Okland Gardens),www.ldc-design-example.com,(555) 776-4062,Keyla,Keyla@gmail.com
Design,Order,"Working on a new web app, looking for a talanted and aprochable designer to take part.","UI/UX, Web",200005,NY,(st. Albans),www.ldc-design-example.com,(555) 776-4063,Saniya,Saniya@gmail.com
Design,Order,"Working on a new web app, looking for a talanted and aprochable designer to take part.","UI/UX, Web",200006,NY,(Jamaica Estates),www.ldc-design-example.com,(555) 776-4064,Livia,Livia@gmail.com
Design,Offer,5 years of experience working with big & small firms.,"UI/UX, Web, Apps, Presentations",200007,NY,(SOUTH OZONE PARK),www.ldc-design-example.com,(555) 776-4065,Amina,Amina@gmail.com
Design,Offer,5 years of experience working with big & small firms.,"UI/UX, Web, Apps, Presentations",200008,NY,(Crown Heights),www.ldc-design-example.com,(555) 776-4066,Angeline,Angeline@gmail.com
Design,Order,"Working on a new web app, looking for a talanted and aprochable designer to take part.","UI/UX, Web",200009,NY,(Upper East Side),www.ldc-design-example.com,(555) 776-4055,Kynlee,Kynlee@gmail.com
Design,Offer,5 years of experience working with big & small firms.,"UI/UX, Web, Apps, Presentations",200010,NY,(JAMAICA),www.ldc-design-example.com,(555) 776-4056,Carlee,Carlee@gmail.com
Design,Order,"Working on a new web app, looking for a talanted and aprochable designer to take part.","UI/UX, Web",200011,NY,(ST. AUGUSTINE),www.ldc-design-example.com,(555) 776-4057,Alena,Alena@gmail.com
Design,Offer,5 years of experience working with big & small firms.,"UI/UX, Web, Apps, Presentations",200012,NY,(GREAT NECK/KENSINGTON),www.ldc-design-example.com,(555) 776-4067,Krystal,Krystal@gmail.com
Design,Offer,5 years of experience working with big & small firms.,"UI/UX, Web, Apps, Presentations",200013,NY,(HOLLIS),www.ldc-design-example.com,(555) 776-4068,Zaria,Zaria@gmail.com
Design,Order,"Working on a new web app, looking for a talanted and aprochable designer to take part.","UI/UX, Web",200014,NY,(ROCKAWAY PARK),www.ldc-design-example.com,(555) 776-4069,Emelia,Emelia@gmail.com
Design,Offer,5 years of experience working with big & small firms.,"UI/UX, Web, Apps, Presentations",200015,NY,(Astoria),www.ldc-design-example.com,(555) 776-4070,Renata,Renata@gmail.com
Design,Order,"Working on a new web app, looking for a talanted and aprochable designer to take part.","UI/UX, Web",200016,NY,(Sunset Park),www.ldc-design-example.com,(555) 776-4071,Mercedes,Mercedes@gmail.com
Design,Offer,5 years of experience working with big & small firms.,"UI/UX, Web, Apps, Presentations",200017,NY,(Astoria/ Ditmars),www.ldc-design-example.com,(555) 776-4072,Paulina,Paulina@gmail.com
Design,Offer,5 years of experience working with big & small firms.,"UI/UX, Web, Apps, Presentations",200018,NY,(188 st / grand central parkway),www.ldc-design-example.com,(555) 776-4073,Diamond,Diamond@gmail.com
Design,Order,"Working on a new web app, looking for a talanted and aprochable designer to take part.","UI/UX, Web",200019,NY,(188 st / grand central parkway),www.ldc-design-example.com,(555) 776-4074,Jenny,Jenny@gmail.com
Design,Order,"Working on a new web app, looking for a talanted and aprochable designer to take part.","UI/UX, Web",200020,NY,(Upper East Side),www.ldc-design-example.com,(555) 776-4075,Aviana,Aviana@gmail.com
Design,Offer,5 years of experience working with big & small firms.,"UI/UX, Web, Apps, Presentations",200021,NY,(Stamford),www.ldc-design-example.com,(555) 776-4076,Ayleen,Ayleen@gmail.com
Design,Order,"Working on a new web app, looking for a talanted and aprochable designer to take part.","UI/UX, Web",200022,NY,(queens village),www.ldc-design-example.com,(555) 776-4077,Barbara,Barbara@gmail.com
