Industry,Category,Description,Bedrooms/Baths,Price,Size,State,Location,Housing Type,Telephone,Contact Person,Email
Real Estate,Sell,"4,000 + sq ft, 6 unit, 4 story apt. building on 10 acres (fixer upper)",8BR / 7Ba,200000,4000,NY,"(Landgrove, VT)",House,(555) 776-4058,Bryn,Bryn@gmail.com
Real Estate,Sell,One Family Stone/Brick Oakland Gardens Flushing RENOVATED,3BR / 1.5Ba,200001,2088,NY,(Bay-side),House,(555) 776-4059,Jolie,Jolie@gmail.com
Real Estate,Sell,One family*** Renovated***Stone/Brick** Oakland Gardens**Flushing,3BR / 1.5Ba,200002,2088,NY,(Bay-side),House,(555) 776-4060,Carla,Carla@gmail.com
Real Estate,Sell,1 Bedroom with double bed 1 Bath,,200003,,NY,(Greenwich Village),,(555) 776-4061,Eileen,Eileen@gmail.com
Real Estate,Sell,One Family Stone / Brick Renovated / Flushing,3BR / 1.5Ba,200004,2088,NY,(Okland Gardens),House,(555) 776-4062,Keyla,Keyla@gmail.com
Real Estate,Properties for rent,1 Family Home For Sale,3BR / 1.5Ba,200005,1623,NY,(st. Albans),Apartment,(555) 776-4063,Saniya,Saniya@gmail.com
Real Estate,Properties for rent,Coop For Sale 175-06 Devonshire Rd #6E Jamaica Estates,1BR / 1Ba,200006,950,NY,(Jamaica Estates),Apartment,(555) 776-4064,Livia,Livia@gmail.com
Real Estate,Sell,STUNNING 2 FAMILY HOUSE NEWLY RENOVATED,6BR / 3Ba,200007,,NY,(SOUTH OZONE PARK),House,(555) 776-4065,Amina,Amina@gmail.com
Real Estate,Sell,2 family brick detached great investment,8BR / 3.5Ba,200008,3194,NY,(Crown Heights),House,(555) 776-4066,Angeline,Angeline@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom for immediate availability,,200009,,NY,(Upper East Side),Apartment,(555) 776-4055,Kynlee,Kynlee@gmail.com
Real Estate,Sell,ONLY 399 ONE FAMILY HOUSE FULLY RENOVATED,2BR / 2Ba,200010,,NY,(JAMAICA),House,(555) 776-4056,Carlee,Carlee@gmail.com
Real Estate,Properties for rent,ST. AUGUSTINE FL. DIRECT WATERFRONT CONDO WITH DEEP WATER BOAT SLIP,,200011,,NY,(ST. AUGUSTINE),Condo,(555) 776-4057,Alena,Alena@gmail.com
Real Estate,Sell,NO FEE CONTEMPORARY 4500 SF VERY HARD TO FIND KENSINGTON WALK TO ALL,5BR / 5Ba,200012,4500,NY,(GREAT NECK/KENSINGTON),House,(555) 776-4067,Krystal,Krystal@gmail.com
Real Estate,Sell,Hollis area Motivated seller 2 family house 50x100 renovated,4BR / 3Ba,200013,,NY,(HOLLIS),House,(555) 776-4068,Zaria,Zaria@gmail.com
Real Estate,Properties for rent,"Rockaway beach apartment for sale 165,000",0BR / 1Ba,200014,,NY,(ROCKAWAY PARK),Apartment,(555) 776-4069,Emelia,Emelia@gmail.com
Real Estate,Sell,For Sale 4 Family with a Store great investment call Peter Zikos,5BR / 5Ba,200015,,NY,(Astoria),Townhouse,(555) 776-4070,Renata,Renata@gmail.com
Real Estate,Properties for rent,Beautiful 3 Bedroom Apartment in PRIME Sunset Park,3BR / 1Ba,200016,1400,NY,(Sunset Park),Apartment,(555) 776-4071,Mercedes,Mercedes@gmail.com
Real Estate,Sell,For Sale two Family brick Ditmars area quiet St,4BR / 2Ba,200017,,NY,(Astoria/ Ditmars),Apartment,(555) 776-4072,Paulina,Paulina@gmail.com
Real Estate,Sell,Detached house  3250 / mo -3bd-2ba - Holliswood / Jamaica Estates -,3BR / 2Ba,200018,,NY,(188 st / grand central parkway),House,(555) 776-4073,Diamond,Diamond@gmail.com
Real Estate,Properties for rent,Detached house  3250 / mo -3bd-2ba - Holliswood / Jamaica Estates -,3BR / 2Ba,200019,,NY,(188 st / grand central parkway),House,(555) 776-4074,Jenny,Jenny@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom for immediate availability,,200020,,NY,(Upper East Side),Apartment,(555) 776-4075,Aviana,Aviana@gmail.com
Real Estate,Sell,4 Bedroom Colonial Home+Full Finished Basement/Sale by Owner,4BR / 3.5Ba,200021,2652,NY,(Stamford),House,(555) 776-4076,Ayleen,Ayleen@gmail.com
Real Estate,Properties for rent,The house you are looking to buy is here house for sale in residential,4BR / 2.5Ba,200022,,NY,(queens village),House,(555) 776-4077,Barbara,Barbara@gmail.com
Real Estate,Sell,2019 POTENTIAL RECESSION. INVEST IN REAL ESTATE-15UNITS,,200023,7000,NY,(MIDDLE VILLAGE-15 UNIT INVESTMENT PROPERTY),House,(555) 776-4078,Alisha,Alisha@gmail.com
Real Estate,Properties for rent,Lovely 2 bedroom,2BR / 1Ba,200024,,NY,(Upper East Side),Apartment,(555) 776-4079,Jaqueline,Jaqueline@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom for immediate availability,,200025,,NY,(Upper East Side),Apartment,(555) 776-4080,Maryam,Maryam@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom for immediate availability,,200026,,NY,(Upper East Side),Apartment,(555) 776-4081,Julianne,Julianne@gmail.com
Real Estate,Properties for rent,Fantastic 2 bedroom in Yorkville area.,2BR / 1Ba,200027,,NY,(Upper East Side),Apartment,(555) 776-4082,Matilda,Matilda@gmail.com
Real Estate,Properties for rent,2 bedroom with a good view,,200028,,NY,(Upper East Side),Apartment,(555) 776-4083,Sonia,Sonia@gmail.com
Real Estate,Properties for rent,2 bedroom with a good view,,200029,,NY,(Upper East Side),Apartment,(555) 776-4084,Edith,Edith@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200030,,NY,(Upper East Side),Apartment,(555) 776-4085,Martha,Martha@gmail.com
Real Estate,Properties for rent,Fantastic 2 bedroom in Yorkville area.,2BR / 1Ba,200031,,NY,(Upper East Side),Apartment,(555) 776-4086,Audriana,Audriana@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom for immediate availability,,200032,,NY,(Upper East Side),Apartment,(555) 776-4087,Kaylyn,Kaylyn@gmail.com
Real Estate,Properties for rent,2 bedroom with a good view,,200033,,NY,(Upper East Side),Apartment,(555) 776-4088,Emmy,Emmy@gmail.com
Real Estate,Properties for rent,2 bedroom with a good view,,200034,,NY,(Upper East Side),Apartment,(555) 776-4089,Giada,Giada@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom for immediate availability,,200035,,NY,(Upper East Side),Apartment,(555) 776-4090,Tegan,Tegan@gmail.com
Real Estate,Properties for rent,Lovely 2 bedroom,2BR / 1Ba,200036,,NY,(Upper East Side),Apartment,(555) 776-4091,Charleigh,Charleigh@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom for immediate availability,,200037,,NY,(Upper East Side),Apartment,(555) 776-4092,Haleigh,Haleigh@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom for immediate availability,,200038,,NY,(Upper East Side),Apartment,(555) 776-4093,Nathaly,Nathaly@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom for immediate availability,,200039,,NY,(Upper East Side),Apartment,(555) 776-4094,Susan,Susan@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom for immediate availability,,200040,,NY,(Upper East Side),Apartment,(555) 776-4095,Kendal,Kendal@gmail.com
Real Estate,Properties for rent,Fantastic 2 bedroom in Yorkville area.,2BR / 1Ba,200041,,NY,(Upper East Side),Apartment,(555) 776-4096,Leia,Leia@gmail.com
Real Estate,Properties for rent,Lovely 2 bedroom,2BR / 1Ba,200042,,NY,(Upper East Side),Apartment,(555) 776-4097,Jordynn,Jordynn@gmail.com
Real Estate,Properties for rent,1 Bedroom with double bed 1 Bath,,200043,,NY,(Greenwich Village),,(555) 776-4098,Amirah,Amirah@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom for immediate availability,,200044,,NY,(Upper East Side),Apartment,(555) 776-4099,Giovanna,Giovanna@gmail.com
Real Estate,Properties for rent,2 bedroom with a good view,,200045,,NY,(Upper East Side),Apartment,(555) 776-4100,Mira,Mira@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200046,,NY,(Upper East Side),Apartment,(555) 776-4101,Addilyn,Addilyn@gmail.com
Real Estate,Properties for rent,2 bedroom with a good view,,200047,,NY,(Upper East Side),Apartment,(555) 776-4102,Frances,Frances@gmail.com
Real Estate,Properties for rent,Fantastic 2 bedroom in Yorkville area.,2BR / 1Ba,200048,,NY,(Upper East Side),Apartment,(555) 776-4103,Kaitlin,Kaitlin@gmail.com
Real Estate,Sell,"Open House, 19 Bouton St East, Stamford, Sat & Sun, 8/4 & 8/5: 2-4pm",4BR / 3.5Ba,200049,2652,NY,(Stamford/Springdale Area),,(555) 776-4104,Kyndall,Kyndall@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200050,,NY,(Upper East Side),Apartment,(555) 776-4105,Myra,Myra@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200051,,NY,(Upper East Side),Apartment,(555) 776-4106,Abbie,Abbie@gmail.com
Real Estate,Properties for rent,2 bedroom with a good view,,200052,,NY,(Upper East Side),Apartment,(555) 776-4107,Samiyah,Samiyah@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200053,,NY,(Upper East Side),Apartment,(555) 776-4108,Taraji,Taraji@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200054,,NY,(Upper East Side),Apartment,(555) 776-4109,Braylee,Braylee@gmail.com
Real Estate,Properties for rent,Lovely 2 bedroom,2BR / 1Ba,200055,,NY,(Upper East Side),Apartment,(555) 776-4110,Corinne,Corinne@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom for immediate availability,,200056,,NY,(Upper East Side),Apartment,(789)654-6558,Colten,Colten@gmail.com
Real Estate,Properties for rent,6 FAMILY ACCEPTING OFFERS,,200057,,NY,(Bushwick),Apartment,(789)654-6559,Emerson,Emerson@gmail.com
Real Estate,Properties for rent,Large 40x100 1 family house fully renovated large bedrooms,4BR / 3Ba,200058,,NY,(LAURELTON),House,(789)654-6560,Phoenix,Phoenix@gmail.com
Real Estate,Properties for rent,3 bedroom + back yard in Greenpoint for 3750,3BR / 1Ba,200059,1000,NY,"(Greenpoint, Williamsburg, Brooklyn)",Apartment,(789)654-6561,King,King@gmail.com
Real Estate,Sell,4br - One Family recently Renovated,4BR / 2Ba,200060,,NY,(West Islip),House,(789)654-6562,Izaiah,Izaiah@gmail.com
Real Estate,Sell,2 FAMILY BRICK GREAT INVESTMENT,6BR / 2Ba,200061,,NY,(East New York),Apartment,(789)654-6563,Karter,Karter@gmail.com
Real Estate,Sell,One family*** Renovated***Stone/Brick** Oakland Gardens**Flushing,3BR / 1.5Ba,200062,2088,NY,(Bay-side),House,(789)654-6564,Albert,Albert@gmail.com
Real Estate,Properties for rent,HUGE APARTMENT IN 2 FAM NEXT TO ALL 3 BDRM 2 BATH,3BR / 2Ba,200063,1200,NY,(LONG BEACH),Apartment,(789)654-6565,Jerry,Jerry@gmail.com
Real Estate,Sell,One Family Stone/Brick RENOVATED Bayside / Flushing,3BR / 1.5Ba,200064,2088,NY,(Okland Gardens),House,(789)654-6566,Tate,Tate@gmail.com
Real Estate,Properties for rent,Lovely 2 bedroom,2BR / 1Ba,200065,,NY,(Upper East Side),Apartment,(789)654-6567,Larry,Larry@gmail.com
Real Estate,Properties for rent,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200066,,NY,(Upper East Side),Apartment,(789)654-6568,Saul,Saul@gmail.com
Real Estate,Properties for rent,2 bedroom with a good view,,200067,,NY,(Upper East Side),Apartment,(789)654-6569,Payton,Payton@gmail.com
Real Estate,Properties for rent,2 bedroom with a good view,,200068,,NY,(Upper East Side),Apartment,(789)654-6570,August,August@gmail.com
