Industry,Category,Date Published,Description,Bedrooms/Baths,Price,Size,State,Location,Housing Type,Telephone,Contact Person,Email
Real Estate,Sell,31-Jul,"4,000 + sq ft, 6 unit, 4 story apt. building on 10 acres (fixer upper)",8BR / 7Ba,200000,4000,New York,"(Landgrove, VT)",House,(555) 776-4058,Bryn,Bryn@gmail.com
Real Estate,Sell,31-Jul,One Family Stone/Brick Oakland Gardens Flushing RENOVATED,3BR / 1.5Ba,200001,2088,New York,(Bay-side),House,(555) 776-4059,Jolie,Jolie@gmail.com
Real Estate,Sell,31-Jul,One family*** Renovated***Stone/Brick** Oakland Gardens**Flushing,3BR / 1.5Ba,200002,2088,New York,(Bay-side),House,(555) 776-4060,Carla,Carla@gmail.com
Real Estate,Sell,31-Jul,1 Bedroom with double bed 1 Bath,,200003,,New York,(Greenwich Village),,(555) 776-4061,Eileen,Eileen@gmail.com
Real Estate,Sell,31-Jul,One Family Stone / Brick Renovated / Flushing,3BR / 1.5Ba,200004,2088,New York,(Okland Gardens),House,(555) 776-4062,Keyla,Keyla@gmail.com
Real Estate,Properties for rent,31-Jul,1 Family Home For Sale,3BR / 1.5Ba,200005,1623,New York,(st. Albans),Apartment,(555) 776-4063,Saniya,Saniya@gmail.com
Real Estate,Properties for rent,31-Jul,Coop For Sale 175-06 Devonshire Rd #6E Jamaica Estates,1BR / 1Ba,200006,950,New York,(Jamaica Estates),Apartment,(555) 776-4064,Livia,Livia@gmail.com
Real Estate,Sell,31-Jul,STUNNING 2 FAMILY HOUSE NEWLY RENOVATED,6BR / 3Ba,200007,,New York,(SOUTH OZONE PARK),House,(555) 776-4065,Amina,Amina@gmail.com
Real Estate,Sell,31-Jul,2 family brick detached great investment,8BR / 3.5Ba,200008,3194,New York,(Crown Heights),House,(555) 776-4066,Angeline,Angeline@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200009,,New York,(Upper East Side),Apartment,(555) 776-4055,Kynlee,Kynlee@gmail.com
Real Estate,Sell,31-Jul,ONLY 399 ONE FAMILY HOUSE FULLY RENOVATED,2BR / 2Ba,200010,,New York,(JAMAICA),House,(555) 776-4056,Carlee,Carlee@gmail.com
Real Estate,Properties for rent,31-Jul,ST. AUGUSTINE FL. DIRECT WATERFRONT CONDO WITH DEEP WATER BOAT SLIP,,200011,,New York,(ST. AUGUSTINE),Condo,(555) 776-4057,Alena,Alena@gmail.com
Real Estate,Sell,31-Jul,NO FEE CONTEMPORARY 4500 SF VERY HARD TO FIND KENSINGTON WALK TO ALL,5BR / 5Ba,200012,4500,New York,(GREAT NECK/KENSINGTON),House,(555) 776-4067,Krystal,Krystal@gmail.com
Real Estate,Sell,31-Jul,Hollis area Motivated seller 2 family house 50x100 renovated,4BR / 3Ba,200013,,New York,(HOLLIS),House,(555) 776-4068,Zaria,Zaria@gmail.com
Real Estate,Properties for rent,31-Jul,"Rockaway beach apartment for sale 165,000",0BR / 1Ba,200014,,New York,(ROCKAWAY PARK),Apartment,(555) 776-4069,Emelia,Emelia@gmail.com
Real Estate,Sell,31-Jul,For Sale 4 Family with a Store great investment call Peter Zikos,5BR / 5Ba,200015,,New York,(Astoria),Townhouse,(555) 776-4070,Renata,Renata@gmail.com
Real Estate,Properties for rent,31-Jul,Beautiful 3 Bedroom Apartment in PRIME Sunset Park,3BR / 1Ba,200016,1400,New York,(Sunset Park),Apartment,(555) 776-4071,Mercedes,Mercedes@gmail.com
Real Estate,Sell,31-Jul,For Sale two Family brick Ditmars area quiet St,4BR / 2Ba,200017,,New York,(Astoria/ Ditmars),Apartment,(555) 776-4072,Paulina,Paulina@gmail.com
Real Estate,Sell,31-Jul,Detached house  3250 / mo -3bd-2ba - Holliswood / Jamaica Estates -,3BR / 2Ba,200018,,New York,(188 st / grand central parkway),House,(555) 776-4073,Diamond,Diamond@gmail.com
Real Estate,Properties for rent,31-Jul,Detached house  3250 / mo -3bd-2ba - Holliswood / Jamaica Estates -,3BR / 2Ba,200019,,New York,(188 st / grand central parkway),House,(555) 776-4074,Jenny,Jenny@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200020,,New York,(Upper East Side),Apartment,(555) 776-4075,Aviana,Aviana@gmail.com
Real Estate,Sell,31-Jul,4 Bedroom Colonial Home+Full Finished Basement/Sale by Owner,4BR / 3.5Ba,200021,2652,New York,(Stamford),House,(555) 776-4076,Ayleen,Ayleen@gmail.com
Real Estate,Properties for rent,31-Jul,The house you are looking to buy is here house for sale in residential,4BR / 2.5Ba,200022,,New York,(queens village),House,(555) 776-4077,Barbara,Barbara@gmail.com
Real Estate,Sell,31-Jul,2019 POTENTIAL RECESSION. INVEST IN REAL ESTATE-15UNITS,,200023,7000,New York,(MIDDLE VILLAGE-15 UNIT INVESTMENT PROPERTY),House,(555) 776-4078,Alisha,Alisha@gmail.com
Real Estate,Properties for rent,31-Jul,Lovely 2 bedroom,2BR / 1Ba,200024,,New York,(Upper East Side),Apartment,(555) 776-4079,Jaqueline,Jaqueline@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200025,,New York,(Upper East Side),Apartment,(555) 776-4080,Maryam,Maryam@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200026,,New York,(Upper East Side),Apartment,(555) 776-4081,Julianne,Julianne@gmail.com
Real Estate,Properties for rent,31-Jul,Fantastic 2 bedroom in Yorkville area.,2BR / 1Ba,200027,,New York,(Upper East Side),Apartment,(555) 776-4082,Matilda,Matilda@gmail.com
Real Estate,Properties for rent,31-Jul,2 bedroom with a good view,,200028,,New York,(Upper East Side),Apartment,(555) 776-4083,Sonia,Sonia@gmail.com
Real Estate,Properties for rent,31-Jul,2 bedroom with a good view,,200029,,New York,(Upper East Side),Apartment,(555) 776-4084,Edith,Edith@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200030,,New York,(Upper East Side),Apartment,(555) 776-4085,Martha,Martha@gmail.com
Real Estate,Properties for rent,31-Jul,Fantastic 2 bedroom in Yorkville area.,2BR / 1Ba,200031,,New York,(Upper East Side),Apartment,(555) 776-4086,Audriana,Audriana@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200032,,New York,(Upper East Side),Apartment,(555) 776-4087,Kaylyn,Kaylyn@gmail.com
